input_dataset,date_created,init_year,end_year,intrusion_type,manual_input_type,manual_input_path,manual_save,manual_input_save,variables_used,date_error,intrusion_ID
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 13:08:53,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,1
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 18:10:20,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,2
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 18:36:12,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,3
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 18:48:59,1999,2024,NORMAL,MANUAL,N/A,N/A,OFF,"['salinity', 'temperature']",10,4
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 18:55:32,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,5
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 19:13:25,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,6
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 19:16:14,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,7
./data/PROCESSED/BBMP_salected_data0.pkl,2024-09-06 19:30:56,1999,2024,NORMAL,IMPORTED,./data/PROCESSED/manualID_NORMAL1724797813.pkl,N/A,OFF,"['salinity', 'temperature']",10,8
